cpu_percent,process_count,ram_percent,scenario,source_tag,timestamp
100.0,347,54.2,cpu_stress,local_psutil,2026-04-02 02:29:23
99.8,348,53.9,cpu_stress,local_psutil,2026-04-02 02:29:24
99.9,348,53.8,cpu_stress,local_psutil,2026-04-02 02:29:25
100.0,352,53.7,cpu_stress,local_psutil,2026-04-02 02:29:26
100.0,348,53.7,cpu_stress,local_psutil,2026-04-02 02:29:27
100.0,348,53.7,cpu_stress,local_psutil,2026-04-02 02:29:28
100.0,348,53.5,cpu_stress,local_psutil,2026-04-02 02:29:29
100.0,349,53.6,cpu_stress,local_psutil,2026-04-02 02:29:30
100.0,350,53.6,cpu_stress,local_psutil,2026-04-02 02:29:32
100.0,348,53.5,cpu_stress,local_psutil,2026-04-02 02:29:33
99.8,348,53.3,cpu_stress,local_psutil,2026-04-02 02:29:34
100.0,348,53.2,cpu_stress,local_psutil,2026-04-02 02:29:35
99.9,349,53.3,cpu_stress,local_psutil,2026-04-02 02:29:36
100.0,352,53.4,cpu_stress,local_psutil,2026-04-02 02:29:37
100.0,348,53.4,cpu_stress,local_psutil,2026-04-02 02:29:38
100.0,348,53.4,cpu_stress,local_psutil,2026-04-02 02:29:39
100.0,348,53.3,cpu_stress,local_psutil,2026-04-02 02:29:40
100.0,349,53.2,cpu_stress,local_psutil,2026-04-02 02:29:41
99.9,352,53.2,cpu_stress,local_psutil,2026-04-02 02:29:42
100.0,348,53.2,cpu_stress,local_psutil,2026-04-02 02:29:43
100.0,348,53.3,cpu_stress,local_psutil,2026-04-02 02:29:44
100.0,348,53.3,cpu_stress,local_psutil,2026-04-02 02:29:45
99.5,349,53.4,cpu_stress,local_psutil,2026-04-02 02:29:46
99.9,350,53.4,cpu_stress,local_psutil,2026-04-02 02:29:47
100.0,349,53.3,cpu_stress,local_psutil,2026-04-02 02:29:48
100.0,349,53.3,cpu_stress,local_psutil,2026-04-02 02:29:49
100.0,349,53.3,cpu_stress,local_psutil,2026-04-02 02:29:50
100.0,351,53.4,cpu_stress,local_psutil,2026-04-02 02:29:51
99.9,351,53.6,cpu_stress,local_psutil,2026-04-02 02:29:52
100.0,351,53.7,cpu_stress,local_psutil,2026-04-02 02:29:53
100.0,349,53.7,cpu_stress,local_psutil,2026-04-02 02:29:54
100.0,349,53.7,cpu_stress,local_psutil,2026-04-02 02:29:55
100.0,351,53.7,cpu_stress,local_psutil,2026-04-02 02:29:56
100.0,351,53.7,cpu_stress,local_psutil,2026-04-02 02:29:57
99.7,351,53.7,cpu_stress,local_psutil,2026-04-02 02:29:58
100.0,349,53.8,cpu_stress,local_psutil,2026-04-02 02:29:59
99.9,349,53.8,cpu_stress,local_psutil,2026-04-02 02:30:00
99.9,351,53.8,cpu_stress,local_psutil,2026-04-02 02:30:01
100.0,351,53.8,cpu_stress,local_psutil,2026-04-02 02:30:02
100.0,349,53.8,cpu_stress,local_psutil,2026-04-02 02:30:03
100.0,349,53.8,cpu_stress,local_psutil,2026-04-02 02:30:04
99.9,349,53.8,cpu_stress,local_psutil,2026-04-02 02:30:05
100.0,351,53.8,cpu_stress,local_psutil,2026-04-02 02:30:06
100.0,352,53.9,cpu_stress,local_psutil,2026-04-02 02:30:07
99.7,349,53.9,cpu_stress,local_psutil,2026-04-02 02:30:08
99.9,349,53.9,cpu_stress,local_psutil,2026-04-02 02:30:09
100.0,349,54.0,cpu_stress,local_psutil,2026-04-02 02:30:10
100.0,353,54.0,cpu_stress,local_psutil,2026-04-02 02:30:11
99.9,351,54.0,cpu_stress,local_psutil,2026-04-02 02:30:12
100.0,349,54.0,cpu_stress,local_psutil,2026-04-02 02:30:13
100.0,349,54.0,cpu_stress,local_psutil,2026-04-02 02:30:14
100.0,349,54.0,cpu_stress,local_psutil,2026-04-02 02:30:15
100.0,351,54.0,cpu_stress,local_psutil,2026-04-02 02:30:16
100.0,349,54.0,cpu_stress,local_psutil,2026-04-02 02:30:17
99.9,347,54.0,cpu_stress,local_psutil,2026-04-02 02:30:18
100.0,347,54.1,cpu_stress,local_psutil,2026-04-02 02:30:19
100.0,347,54.1,cpu_stress,local_psutil,2026-04-02 02:30:20
